Customer Name,Date,Week,Actual Orders,Forecast Orders
CONAGRA - NA,2023-07-17 00:00:00,29,69,65
DANONE - EU,2023-07-17 00:00:00,29,40,58
HALEON - EU,2023-07-17 00:00:00,29,93,145
HALEON - NA,2023-07-17 00:00:00,29,55,21
INTERNATIONAL PAPER - NA,2023-07-17 00:00:00,29,13,34
JDE - EU,2023-07-17 00:00:00,29,15,30
METAL CONTAINER CORP - NA,2023-07-17 00:00:00,29,32,105
NOVOLEX - NA,2023-07-17 00:00:00,29,67,48
PACKAGING SPECIALTIE - NA,2023-07-17 00:00:00,29,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-17 00:00:00,29,12,54
PROCTER & GAMBLE - EU,2023-07-17 00:00:00,29,226,100
THE FERRERO GROUP - NA,2023-07-17 00:00:00,29,6,70
3M - NA,2023-07-10 00:00:00,28,88,85
BEIERSDORF INCORPORATED - EU,2023-07-10 00:00:00,28,69,50
BROWN FORMAN CORPORATION - NA,2023-07-10 00:00:00,28,41,52
CONAGRA - NA,2023-07-10 00:00:00,28,74,75
DANONE - EU,2023-07-10 00:00:00,28,41,52
HALEON - EU,2023-07-10 00:00:00,28,101,145
HALEON - NA,2023-07-10 00:00:00,28,29,28
INTERNATIONAL PAPER - NA,2023-07-10 00:00:00,28,10,34
JDE - EU,2023-07-10 00:00:00,28,20,30
METAL CONTAINER CORP - NA,2023-07-10 00:00:00,28,38,120
NOVOLEX - NA,2023-07-10 00:00:00,28,75,44
PACKAGING SPECIALTIE - NA,2023-07-10 00:00:00,28,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-10 00:00:00,28,1,36
PROCTER & GAMBLE - EU,2023-07-10 00:00:00,28,216,100
THE FERRERO GROUP - NA,2023-07-10 00:00:00,28,11,65
3M - NA,2023-07-03 00:00:00,27,73,150
BEIERSDORF INCORPORATED - EU,2023-07-03 00:00:00,27,151,50
BROWN FORMAN CORPORATION - NA,2023-07-03 00:00:00,27,58,45
CONAGRA - NA,2023-07-03 00:00:00,27,33,25
DANONE - EU,2023-07-03 00:00:00,27,40,80
HALEON - EU,2023-07-03 00:00:00,27,98,145
HALEON - NA,2023-07-03 00:00:00,27,20,31
INTERNATIONAL PAPER - NA,2023-07-03 00:00:00,27,13,34
JDE - EU,2023-07-03 00:00:00,27,61,20
METAL CONTAINER CORP - NA,2023-07-03 00:00:00,27,2,105
NOVOLEX - NA,2023-07-03 00:00:00,27,58,38
PACKAGING SPECIALTIE - NA,2023-07-03 00:00:00,27,0,70
PEEL PLASTIC PRODUCT - NA,2023-07-03 00:00:00,27,6,38
PROCTER & GAMBLE - EU,2023-07-03 00:00:00,27,249,100
THE FERRERO GROUP - NA,2023-07-03 00:00:00,27,5,65
3M - NA,2023-06-26 00:00:00,26,68,130
BEIERSDORF INCORPORATED - EU,2023-06-26 00:00:00,26,81,50
BROWN FORMAN CORPORATION - NA,2023-06-26 00:00:00,26,70,52
CONAGRA - NA,2023-06-26 00:00:00,26,29,35
DANONE - EU,2023-06-26 00:00:00,26,47,107
HALEON - EU,2023-06-26 00:00:00,26,131,125
HALEON - NA,2023-06-26 00:00:00,26,25,24
INTERNATIONAL PAPER - NA,2023-06-26 00:00:00,26,15,34
JDE - EU,2023-06-26 00:00:00,26,29,20
METAL CONTAINER CORP - NA,2023-06-26 00:00:00,26,21,120
NOVOLEX - NA,2023-06-26 00:00:00,26,53,44
PACKAGING SPECIALTIE - NA,2023-06-26 00:00:00,26,0,70
PEEL PLASTIC PRODUCT - NA,2023-06-26 00:00:00,26,17,35
PROCTER & GAMBLE - EU,2023-06-26 00:00:00,26,179,228
THE FERRERO GROUP - NA,2023-06-26 00:00:00,26,10,70
3M - NA,2023-06-19 00:00:00,25,90,150
BEIERSDORF INCORPORATED - EU,2023-06-19 00:00:00,25,54,50
BROWN FORMAN CORPORATION - NA,2023-06-19 00:00:00,25,90,52
CONAGRA - NA,2023-06-19 00:00:00,25,57,40
DANONE - EU,2023-06-19 00:00:00,25,22,96
HALEON - EU,2023-06-19 00:00:00,25,126,125
HALEON - NA,2023-06-19 00:00:00,25,34,29
INTERNATIONAL PAPER - NA,2023-06-19 00:00:00,25,13,34
JDE - EU,2023-06-19 00:00:00,25,41,15
METAL CONTAINER CORP - NA,2023-06-19 00:00:00,25,13,110
NOVOLEX - NA,2023-06-19 00:00:00,25,57,42
PACKAGING SPECIALTIE - NA,2023-06-19 00:00:00,25,0,70
PEEL PLASTIC PRODUCT - NA,2023-06-19 00:00:00,25,8,38
PROCTER & GAMBLE - EU,2023-06-19 00:00:00,25,267,228
THE FERRERO GROUP - NA,2023-06-19 00:00:00,25,14,75
3M - NA,2023-06-12 00:00:00,24,56,185
BEIERSDORF INCORPORATED - EU,2023-06-12 00:00:00,24,33,50
BROWN FORMAN CORPORATION - NA,2023-06-12 00:00:00,24,89,50
CONAGRA - NA,2023-06-12 00:00:00,24,72,35
DANONE - EU,2023-06-12 00:00:00,24,71,90
HALEON - EU,2023-06-12 00:00:00,24,104,100
HALEON - NA,2023-06-12 00:00:00,24,48,21
INTERNATIONAL PAPER - NA,2023-06-12 00:00:00,24,8,35
JDE - EU,2023-06-12 00:00:00,24,6,10
METAL CONTAINER CORP - NA,2023-06-12 00:00:00,24,32,115
NOVOLEX - NA,2023-06-12 00:00:00,24,45,55
PACKAGING SPECIALTIE - NA,2023-06-12 00:00:00,24,8,70
PEEL PLASTIC PRODUCT - NA,2023-06-12 00:00:00,24,17,34
PROCTER & GAMBLE - EU,2023-06-12 00:00:00,24,193,228
THE FERRERO GROUP - NA,2023-06-12 00:00:00,24,23,80
3M - NA,2023-06-05 00:00:00,23,42,150
BEIERSDORF INCORPORATED - EU,2023-06-05 00:00:00,23,30,50
BROWN FORMAN CORPORATION - NA,2023-06-05 00:00:00,23,92,50
CONAGRA - NA,2023-06-05 00:00:00,23,85,30
DANONE - EU,2023-06-05 00:00:00,23,65,89
HALEON - EU,2023-06-05 00:00:00,23,106,100
HALEON - NA,2023-06-05 00:00:00,23,41,40
INTERNATIONAL PAPER - NA,2023-06-05 00:00:00,23,14,35
JDE - EU,2023-06-05 00:00:00,23,15,10
METAL CONTAINER CORP - NA,2023-06-05 00:00:00,23,14,120
NOVOLEX - NA,2023-06-05 00:00:00,23,30,45
PACKAGING SPECIALTIE - NA,2023-06-05 00:00:00,23,8,70
PEEL PLASTIC PRODUCT - NA,2023-06-05 00:00:00,23,15,61
PROCTER & GAMBLE - EU,2023-06-05 00:00:00,23,121,251
THE FERRERO GROUP - NA,2023-06-05 00:00:00,23,19,80
3M - NA,2023-05-29 00:00:00,22,47,125
BEIERSDORF INCORPORATED - EU,2023-05-29 00:00:00,22,45,50
BROWN FORMAN CORPORATION - NA,2023-05-29 00:00:00,22,70,52
CONAGRA - NA,2023-05-29 00:00:00,22,90,20
DANONE - EU,2023-05-29 00:00:00,22,19,90
HALEON - EU,2023-05-29 00:00:00,22,102,100
HALEON - NA,2023-05-29 00:00:00,22,60,36
INTERNATIONAL PAPER - NA,2023-05-29 00:00:00,22,13,35
JDE - EU,2023-05-29 00:00:00,22,40,10
METAL CONTAINER CORP - NA,2023-05-29 00:00:00,22,2,110
NOVOLEX - NA,2023-05-29 00:00:00,22,37,35
PACKAGING SPECIALTIE - NA,2023-05-29 00:00:00,22,0,70
PEEL PLASTIC PRODUCT - NA,2023-05-29 00:00:00,22,14,36
PROCTER & GAMBLE - EU,2023-05-29 00:00:00,22,135,258
THE FERRERO GROUP - NA,2023-05-29 00:00:00,22,5,75
3M - NA,2023-05-22 00:00:00,21,30,150
BEIERSDORF INCORPORATED - EU,2023-05-22 00:00:00,21,121,50
BROWN FORMAN CORPORATION - NA,2023-05-22 00:00:00,21,68,50
CONAGRA - NA,2023-05-22 00:00:00,21,72,140
DANONE - EU,2023-05-22 00:00:00,21,16,78
HALEON - EU,2023-05-22 00:00:00,21,103,115
HALEON - NA,2023-05-22 00:00:00,21,55,18
INTERNATIONAL PAPER - NA,2023-05-22 00:00:00,21,13,30
JDE - EU,2023-05-22 00:00:00,21,19,15
METAL CONTAINER CORP - NA,2023-05-22 00:00:00,21,26,135
NOVOLEX - NA,2023-05-22 00:00:00,21,40,39
PACKAGING SPECIALTIE - NA,2023-05-22 00:00:00,21,1,60
PEEL PLASTIC PRODUCT - NA,2023-05-22 00:00:00,21,8,56
PROCTER & GAMBLE - EU,2023-05-22 00:00:00,21,106,368
THE FERRERO GROUP - NA,2023-05-22 00:00:00,21,13,95
3M - NA,2023-05-15 00:00:00,20,95,225
BEIERSDORF INCORPORATED - EU,2023-05-15 00:00:00,20,49,50
BROWN FORMAN CORPORATION - NA,2023-05-15 00:00:00,20,71,50
CONAGRA - NA,2023-05-15 00:00:00,20,93,160
DANONE - EU,2023-05-15 00:00:00,20,4,63
HALEON - EU,2023-05-15 00:00:00,20,102,110
HALEON - NA,2023-05-15 00:00:00,20,74,23
INTERNATIONAL PAPER - NA,2023-05-15 00:00:00,20,15,30
JDE - EU,2023-05-15 00:00:00,20,9,15
METAL CONTAINER CORP - NA,2023-05-15 00:00:00,20,27,140
NOVOLEX - NA,2023-05-15 00:00:00,20,19,42
PACKAGING SPECIALTIE - NA,2023-05-15 00:00:00,20,0,60
PEEL PLASTIC PRODUCT - NA,2023-05-15 00:00:00,20,9,37
PROCTER & GAMBLE - EU,2023-05-15 00:00:00,20,183,346
THE FERRERO GROUP - NA,2023-05-15 00:00:00,20,19,80
3M - NA,2023-05-08 00:00:00,19,55,175
BEIERSDORF INCORPORATED - EU,2023-05-08 00:00:00,19,41,80
BROWN FORMAN CORPORATION - NA,2023-05-08 00:00:00,19,62,50
CONAGRA - NA,2023-05-08 00:00:00,19,79,140
DANONE - EU,2023-05-08 00:00:00,19,10,111
HALEON - EU,2023-05-08 00:00:00,19,53,100
HALEON - NA,2023-05-08 00:00:00,19,44,22
INTERNATIONAL PAPER - NA,2023-05-08 00:00:00,19,10,30
JDE - EU,2023-05-08 00:00:00,19,22,15
METAL CONTAINER CORP - NA,2023-05-08 00:00:00,19,27,130
NOVOLEX - NA,2023-05-08 00:00:00,19,8,40
PACKAGING SPECIALTIE - NA,2023-05-08 00:00:00,19,0,60
PEEL PLASTIC PRODUCT - NA,2023-05-08 00:00:00,19,11,35
PROCTER & GAMBLE - EU,2023-05-08 00:00:00,19,156,352
THE FERRERO GROUP - NA,2023-05-08 00:00:00,19,19,80
3M - NA,2023-05-01 00:00:00,18,73,200
BEIERSDORF INCORPORATED - EU,2023-05-01 00:00:00,18,2,80
BROWN FORMAN CORPORATION - NA,2023-05-01 00:00:00,18,67,50
CONAGRA - NA,2023-05-01 00:00:00,18,28,25
DANONE - EU,2023-05-01 00:00:00,18,18,118
HALEON - EU,2023-05-01 00:00:00,18,74,100
HALEON - NA,2023-05-01 00:00:00,18,26,83
INTERNATIONAL PAPER - NA,2023-05-01 00:00:00,18,7,30
JDE - EU,2023-05-01 00:00:00,18,15,15
METAL CONTAINER CORP - NA,2023-05-01 00:00:00,18,54,135
NOVOLEX - NA,2023-05-01 00:00:00,18,17,38
PACKAGING SPECIALTIE - NA,2023-05-01 00:00:00,18,0,60
PEEL PLASTIC PRODUCT - NA,2023-05-01 00:00:00,18,2,42
PROCTER & GAMBLE - EU,2023-05-01 00:00:00,18,264,345
THE FERRERO GROUP - NA,2023-05-01 00:00:00,18,19,75
3M - NA,2023-04-24 00:00:00,17,172,100
BEIERSDORF INCORPORATED - EU,2023-04-24 00:00:00,17,5,80
BROWN FORMAN CORPORATION - NA,2023-04-24 00:00:00,17,78,20
CONAGRA - NA,2023-04-24 00:00:00,17,35,50
DANONE - EU,2023-04-24 00:00:00,17,16,116
HALEON - EU,2023-04-24 00:00:00,17,85,100
HALEON - NA,2023-04-24 00:00:00,17,33,23
INTERNATIONAL PAPER - NA,2023-04-24 00:00:00,17,6,35
JDE - EU,2023-04-24 00:00:00,17,10,30
METAL CONTAINER CORP - NA,2023-04-24 00:00:00,17,41,135
NOVOLEX - NA,2023-04-24 00:00:00,17,21,40
PACKAGING SPECIALTIE - NA,2023-04-24 00:00:00,17,4,67
PEEL PLASTIC PRODUCT - NA,2023-04-24 00:00:00,17,12,39
PROCTER & GAMBLE - EU,2023-04-24 00:00:00,17,178,361
THE FERRERO GROUP - NA,2023-04-24 00:00:00,17,20,85
3M - NA,2023-04-17 00:00:00,16,169,175
BEIERSDORF INCORPORATED - EU,2023-04-17 00:00:00,16,19,80
BROWN FORMAN CORPORATION - NA,2023-04-17 00:00:00,16,112,25
CONAGRA - NA,2023-04-17 00:00:00,16,68,60
DANONE - EU,2023-04-17 00:00:00,16,9,113
HALEON - EU,2023-04-17 00:00:00,16,82,115
HALEON - NA,2023-04-17 00:00:00,16,48,28
INTERNATIONAL PAPER - NA,2023-04-17 00:00:00,16,7,35
JDE - EU,2023-04-17 00:00:00,16,17,25
METAL CONTAINER CORP - NA,2023-04-17 00:00:00,16,30,135
NOVOLEX - NA,2023-04-17 00:00:00,16,6,42
PACKAGING SPECIALTIE - NA,2023-04-17 00:00:00,16,0,45
PEEL PLASTIC PRODUCT - NA,2023-04-17 00:00:00,16,10,35
PROCTER & GAMBLE - EU,2023-04-17 00:00:00,16,218,337
THE FERRERO GROUP - NA,2023-04-17 00:00:00,16,35,90
3M - NA,2023-04-10 00:00:00,15,158,125
BEIERSDORF INCORPORATED - EU,2023-04-10 00:00:00,15,25,80
BROWN FORMAN CORPORATION - NA,2023-04-10 00:00:00,15,56,40
CONAGRA - NA,2023-04-10 00:00:00,15,19,40
DANONE - EU,2023-04-10 00:00:00,15,22,121
HALEON - EU,2023-04-10 00:00:00,15,130,110
HALEON - NA,2023-04-10 00:00:00,15,49,25
INTERNATIONAL PAPER - NA,2023-04-10 00:00:00,15,9,28
JDE - EU,2023-04-10 00:00:00,15,39,15
METAL CONTAINER CORP - NA,2023-04-10 00:00:00,15,29,125
NOVOLEX - NA,2023-04-10 00:00:00,15,14,48
PACKAGING SPECIALTIE - NA,2023-04-10 00:00:00,15,0,56
PEEL PLASTIC PRODUCT - NA,2023-04-10 00:00:00,15,11,23
PROCTER & GAMBLE - EU,2023-04-10 00:00:00,15,152,348
THE FERRERO GROUP - NA,2023-04-10 00:00:00,15,21,85
3M - NA,2023-04-03 00:00:00,14,102,250
BEIERSDORF INCORPORATED - EU,2023-04-03 00:00:00,14,29,50
BROWN FORMAN CORPORATION - NA,2023-04-03 00:00:00,14,38,40
CONAGRA - NA,2023-04-03 00:00:00,14,36,35
DANONE - EU,2023-04-03 00:00:00,14,4,119
HALEON - EU,2023-04-03 00:00:00,14,132,110
HALEON - NA,2023-04-03 00:00:00,14,48,42
INTERNATIONAL PAPER - NA,2023-04-03 00:00:00,14,8,35
JDE - EU,2023-04-03 00:00:00,14,3,15
METAL CONTAINER CORP - NA,2023-04-03 00:00:00,14,26,130
NOVOLEX - NA,2023-04-03 00:00:00,14,16,42
PACKAGING SPECIALTIE - NA,2023-04-03 00:00:00,14,0,34
PEEL PLASTIC PRODUCT - NA,2023-04-03 00:00:00,14,14,20
PROCTER & GAMBLE - EU,2023-04-03 00:00:00,14,203,319
THE FERRERO GROUP - NA,2023-04-03 00:00:00,14,35,90
3M - NA,2023-03-27 00:00:00,13,88,225
BEIERSDORF INCORPORATED - EU,2023-03-27 00:00:00,13,46,0
BROWN FORMAN CORPORATION - NA,2023-03-27 00:00:00,13,68,5
CONAGRA - NA,2023-03-27 00:00:00,13,25,23
DANONE - EU,2023-03-27 00:00:00,13,19,61
HALEON - EU,2023-03-27 00:00:00,13,99,125
HALEON - NA,2023-03-27 00:00:00,13,47,28
INTERNATIONAL PAPER - NA,2023-03-27 00:00:00,13,13,38
JDE - EU,2023-03-27 00:00:00,13,20,10
METAL CONTAINER CORP - NA,2023-03-27 00:00:00,13,16,135
NOVOLEX - NA,2023-03-27 00:00:00,13,20,32
PACKAGING SPECIALTIE - NA,2023-03-27 00:00:00,13,0,72
PEEL PLASTIC PRODUCT - NA,2023-03-27 00:00:00,13,17,49
PROCTER & GAMBLE - EU,2023-03-27 00:00:00,13,200,445
THE FERRERO GROUP - NA,2023-03-27 00:00:00,13,37,85
3M - NA,2023-03-20 00:00:00,12,98,250
BEIERSDORF INCORPORATED - EU,2023-03-20 00:00:00,12,128,9
BROWN FORMAN CORPORATION - NA,2023-03-20 00:00:00,12,40,5
CONAGRA - NA,2023-03-20 00:00:00,12,42,25
DANONE - EU,2023-03-20 00:00:00,12,6,78
HALEON - EU,2023-03-20 00:00:00,12,90,125
HALEON - NA,2023-03-20 00:00:00,12,40,38
INTERNATIONAL PAPER - NA,2023-03-20 00:00:00,12,9,38
JDE - EU,2023-03-20 00:00:00,12,36,10
METAL CONTAINER CORP - NA,2023-03-20 00:00:00,12,19,130
NOVOLEX - NA,2023-03-20 00:00:00,12,7,40
PACKAGING SPECIALTIE - NA,2023-03-20 00:00:00,12,0,72
PEEL PLASTIC PRODUCT - NA,2023-03-20 00:00:00,12,4,44
PROCTER & GAMBLE - EU,2023-03-20 00:00:00,12,179,439
THE FERRERO GROUP - NA,2023-03-20 00:00:00,12,15,90
3M - NA,2023-03-13 00:00:00,11,112,300
BEIERSDORF INCORPORATED - EU,2023-03-13 00:00:00,11,16,15
BROWN FORMAN CORPORATION - NA,2023-03-13 00:00:00,11,61,5
CONAGRA - NA,2023-03-13 00:00:00,11,34,48
DANONE - EU,2023-03-13 00:00:00,11,16,62
HALEON - EU,2023-03-13 00:00:00,11,123,122
HALEON - NA,2023-03-13 00:00:00,11,19,34
INTERNATIONAL PAPER - NA,2023-03-13 00:00:00,11,9,38
JDE - EU,2023-03-13 00:00:00,11,17,10
METAL CONTAINER CORP - NA,2023-03-13 00:00:00,11,16,125
NOVOLEX - NA,2023-03-13 00:00:00,11,13,34
PACKAGING SPECIALTIE - NA,2023-03-13 00:00:00,11,0,72
PEEL PLASTIC PRODUCT - NA,2023-03-13 00:00:00,11,20,42
PROCTER & GAMBLE - EU,2023-03-13 00:00:00,11,165,425
THE FERRERO GROUP - NA,2023-03-13 00:00:00,11,31,90
3M - NA,2023-03-06 00:00:00,10,166,275
BEIERSDORF INCORPORATED - EU,2023-03-06 00:00:00,10,17,12
BROWN FORMAN CORPORATION - NA,2023-03-06 00:00:00,10,51,0
CONAGRA - NA,2023-03-06 00:00:00,10,52,32
DANONE - EU,2023-03-06 00:00:00,10,17,66
HALEON - EU,2023-03-06 00:00:00,10,140,120
HALEON - NA,2023-03-06 00:00:00,10,48,48
INTERNATIONAL PAPER - NA,2023-03-06 00:00:00,10,8,38
JDE - EU,2023-03-06 00:00:00,10,12,10
METAL CONTAINER CORP - NA,2023-03-06 00:00:00,10,16,120
NOVOLEX - NA,2023-03-06 00:00:00,10,22,36
PACKAGING SPECIALTIE - NA,2023-03-06 00:00:00,10,0,72
PEEL PLASTIC PRODUCT - NA,2023-03-06 00:00:00,10,11,41
PROCTER & GAMBLE - EU,2023-03-06 00:00:00,10,128,498
THE FERRERO GROUP - NA,2023-03-06 00:00:00,10,28,90
3M - NA,2023-02-27 00:00:00,09,87,300
BEIERSDORF INCORPORATED - EU,2023-02-27 00:00:00,09,508,11
BROWN FORMAN CORPORATION - NA,2023-02-27 00:00:00,09,62,5
CONAGRA - NA,2023-02-27 00:00:00,09,32,43
DANONE - EU,2023-02-27 00:00:00,09,27,83
HALEON - EU,2023-02-27 00:00:00,09,90,110
HALEON - NA,2023-02-27 00:00:00,09,46,56
INTERNATIONAL PAPER - NA,2023-02-27 00:00:00,09,15,38
JDE - EU,2023-02-27 00:00:00,09,25,5
METAL CONTAINER CORP - NA,2023-02-27 00:00:00,09,6,120
NOVOLEX - NA,2023-02-27 00:00:00,09,14,36
PACKAGING SPECIALTIE - NA,2023-02-27 00:00:00,09,0,72
PEEL PLASTIC PRODUCT - NA,2023-02-27 00:00:00,09,12,35
PROCTER & GAMBLE - EU,2023-02-27 00:00:00,09,81,444
THE FERRERO GROUP - NA,2023-02-27 00:00:00,09,39,85
3M - NA,2023-02-20 00:00:00,08,111,250
BEIERSDORF INCORPORATED - EU,2023-02-20 00:00:00,08,1956,5
BROWN FORMAN CORPORATION - NA,2023-02-20 00:00:00,08,62,0
CONAGRA - NA,2023-02-20 00:00:00,08,25,47
DANONE - EU,2023-02-20 00:00:00,08,7,78
HALEON - EU,2023-02-20 00:00:00,08,123,90
HALEON - NA,2023-02-20 00:00:00,08,39,16
INTERNATIONAL PAPER - NA,2023-02-20 00:00:00,08,12,37
JDE - EU,2023-02-20 00:00:00,08,6,40
METAL CONTAINER CORP - NA,2023-02-20 00:00:00,08,12,125
NOVOLEX - NA,2023-02-20 00:00:00,08,24,43
PACKAGING SPECIALTIE - NA,2023-02-20 00:00:00,08,0,70
PEEL PLASTIC PRODUCT - NA,2023-02-20 00:00:00,08,14,45
PROCTER & GAMBLE - EU,2023-02-20 00:00:00,08,151,434
THE FERRERO GROUP - NA,2023-02-20 00:00:00,08,33,75
3M - NA,2023-02-13 00:00:00,07,144,195
BEIERSDORF INCORPORATED - EU,2023-02-13 00:00:00,07,635,21
BROWN FORMAN CORPORATION - NA,2023-02-13 00:00:00,07,30,0
CONAGRA - NA,2023-02-13 00:00:00,07,49,45
DANONE - EU,2023-02-13 00:00:00,07,26,87
HALEON - EU,2023-02-13 00:00:00,07,165,90
HALEON - NA,2023-02-13 00:00:00,07,57,51
INTERNATIONAL PAPER - NA,2023-02-13 00:00:00,07,7,37
JDE - EU,2023-02-13 00:00:00,07,19,20
METAL CONTAINER CORP - NA,2023-02-13 00:00:00,07,10,110
NOVOLEX - NA,2023-02-13 00:00:00,07,13,36
PACKAGING SPECIALTIE - NA,2023-02-13 00:00:00,07,1,70
PEEL PLASTIC PRODUCT - NA,2023-02-13 00:00:00,07,26,50
PROCTER & GAMBLE - EU,2023-02-13 00:00:00,07,99,411
THE FERRERO GROUP - NA,2023-02-13 00:00:00,07,26,70
3M - NA,2023-02-06 00:00:00,06,82,230
BEIERSDORF INCORPORATED - EU,2023-02-06 00:00:00,06,617,7
BROWN FORMAN CORPORATION - NA,2023-02-06 00:00:00,06,44,4
CONAGRA - NA,2023-02-06 00:00:00,06,32,40
DANONE - EU,2023-02-06 00:00:00,06,11,113
HALEON - EU,2023-02-06 00:00:00,06,154,85
HALEON - NA,2023-02-06 00:00:00,06,32,22
INTERNATIONAL PAPER - NA,2023-02-06 00:00:00,06,8,35
JDE - EU,2023-02-06 00:00:00,06,51,20
METAL CONTAINER CORP - NA,2023-02-06 00:00:00,06,19,120
NOVOLEX - NA,2023-02-06 00:00:00,06,10,37
PACKAGING SPECIALTIE - NA,2023-02-06 00:00:00,06,0,70
PEEL PLASTIC PRODUCT - NA,2023-02-06 00:00:00,06,23,45
PROCTER & GAMBLE - EU,2023-02-06 00:00:00,06,77,419
THE FERRERO GROUP - NA,2023-02-06 00:00:00,06,39,70
3M - NA,2023-01-30 00:00:00,05,201,200
BEIERSDORF INCORPORATED - EU,2023-01-30 00:00:00,05,490,1
BROWN FORMAN CORPORATION - NA,2023-01-30 00:00:00,05,64,4
CONAGRA - NA,2023-01-30 00:00:00,05,33,35
DANONE - EU,2023-01-30 00:00:00,05,11,76
HALEON - EU,2023-01-30 00:00:00,05,116,77
HALEON - NA,2023-01-30 00:00:00,05,52,72
INTERNATIONAL PAPER - NA,2023-01-30 00:00:00,05,12,33
JDE - EU,2023-01-30 00:00:00,05,19,15
